id,title,description,likeCount,publishTime,duration_seconds,viewCount,like_to_view_ratio
erQ_9yEz0ls,"I Bought The World&#39;s Largest Firework ($600,000)",I cant believe i spent this much money on fireworks lol Thanks to Fireworks by Grucci for helping! https://www.grucci.com/ Follow ...,3641646.0,2020-07-03 21:00:20+00:00,669,106594059.0,0.03416368636454683
YQDDm9HLkV4,I Adopted EVERY Dog In A Dog Shelter,"This is my favorite video i have ever made, it took me 9 months to film. PLEASE DONATE HERE: https://furkids.org/donation/ New ...",3343738.0,2020-07-23 20:00:11+00:00,964,104797858.0,0.031906549082329524
FbM1yi4mMMc,I Bought A Private Island,"I spent so much money buying this island, please subscribe lol New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...",2751454.0,2020-08-13 20:00:07+00:00,697,76692327.0,0.03587652256268088
5V2B28OqfqM,"I Spent $1,000,000 On Lottery Tickets and WON",I didnt think i was going to win that much... looks like im buying an island New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I ...,2143711.0,2020-08-08 20:00:02+00:00,613,58842218.0,0.03643151248989289
AA-VpIj8F5Y,"Last To Stop Running Wins $20,000",You won't believe what happens to chandler!! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,1832463.0,2019-06-06 20:00:00+00:00,898,83179815.0,0.022030140365183547
5Fg9oZk-5uA,I Bought Everything In 5 Stores,Please subscribe this video costed so much money Buy Merch Here!! - https://shopmrbeast.com/ Beast Philanthropy ...,3640655.0,2021-01-09 21:01:25+00:00,854,74045114.0,0.04916806529597618
C680oxL__ck,"I Ate $100,000 Golden Ice Cream",I cant believe how insane that ice cream looked at the end New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...,3496697.0,2021-01-22 21:00:03+00:00,797,99700649.0,0.0350719582577642
mpZWt5pGKZ8,The Real Way Dinosaurs Went Extinct,SCHOOLS HAVE BEEN LYING TO YOU ALL YOUR LIFE! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...,665682.0,2018-06-28 21:12:01+00:00,351,24150678.0,0.02756369821170238
r7zJ8srwwjk,I Spent 50 Hours In Solitary Confinement,i borderline went crazy about 30 hours in... New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,3109009.0,2020-05-30 20:10:08+00:00,952,158424466.0,0.019624550920058017
D9lVNzyhYnc,Surviving 24 Hours Straight In The Bermuda Triangle,THIS IS ONE OF THE CRAZIEST THINGS I'VE EVER DONE! DONATE TO TEAM TREES: https://teamtrees.org/ New Merch ...,2376880.0,2019-11-09 21:00:55+00:00,701,109909726.0,0.021625747661312523
f0c7pSCoZqE,"I Put 1,000,000 Christmas Lights On A House (World Record)",Watch until the end to see how insane the houses look Get Honey for FREE today ▸ https://joinhoney.com/mrbeast Honey finds ...,2158821.0,2020-12-23 21:00:06+00:00,748,54785723.0,0.039404809899104554
dg2Ag3e8W-Q,I Opened A Restaurant That Pays You To Eat At It,Download our MrBeast Burger App and order food NOW! IOS - https://apps.apple.com/us/app/mrbeast-burger/id1543431762 ...,3525848.0,2020-12-19 22:00:03+00:00,639,93929098.0,0.03753733480970934
cV2gBU6hKfY,I Cleaned The World’s Dirtiest Beach #TeamSeas,Donated = 1 Pound Of Trash Out Of The Ocean - https://teamseas.org/ HELP US REMOVE 30000000 POUNDS OF TRASH FROM ...,4132687.0,2021-10-29 19:59:43+00:00,295,52448898.0,0.07879454397688203
DuQbOQwVaNE,"Offering People $100,000 To Quit Their Job",Download Finger On The App 2 NOW! - https://beastgames.com/ New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...,2576744.0,2021-03-13 21:00:02+00:00,677,77042095.0,0.03344592329686777
RCvnytndd9c,"Last To Leave VR Wins $20,000",YOU WON'T BELIEVE HOW LONG THEY LASTED!!! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,1907558.0,2019-06-08 20:00:01+00:00,858,82682475.0,0.023070886545183848
L8nh1wuXTbI,"I Gave Him One Hour To Spend $100,000!",THEY HAD ONLY ONE HOUR TO SPEND $100000 IN NEW YORK Download Tik Tok Here ...,1321472.0,2019-01-01 21:05:01+00:00,830,63835088.0,0.02070134218347126
Ooke4YZv8Ts,Surviving 24 Hours Straight In A Desert,WE WENT TO A DESERT AND SPENT 24 HOURS IN IT New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...,1916757.0,2019-03-16 20:05:00+00:00,844,87553418.0,0.02189242914537043
RwnN2FVaHmw,"Last to Stop Swinging Wins $1,000,000 (Part 2)",I BET YOU DIDNT EXPECT THAT TO HAPPEN LOL (watch till the end) Get Honey for FREE and start saving money today ...,1358572.0,2019-11-30 21:00:03+00:00,783,58637341.0,0.023169058774339717
tQ4m4zD7BBA,"Last To Fall Wins $1,000,000 (Part 1)",BUY MY MERCH!! - https://shopmrbeast.com/ FOLLOW MY INSTAGRAM!! - https://www.instagram.com/mrbeast SUBSCRIBE OR ...,2002815.0,2019-11-14 21:00:31+00:00,1017,83659525.0,0.023940071378602736
bs0SWXbty18,"Spending $1,000,000 In 24 Hours",watch till the end you wont believe everything he bought.... Get Honey for FREE and save on your holiday gifts ...,3030445.0,2019-12-21 21:00:01+00:00,910,100601425.0,0.03012328105690352
2eFSU7TFOnk,Spending 24 Hours On Top Of A Mountain,"WE HAD LIKE NO OXYGEN UP HERE, IT WAS CRAZY! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...",2313086.0,2019-06-13 20:00:01+00:00,924,101663010.0,0.02275248391720843
F4Y3Pkn95GI,"I Ate A $70,000 Golden Pizza",I cant believe we actually did this... Please vote and help me win a Kids Choice Award (I'm on page 20) https://kca.nick.tv/vote/ ...,2846523.0,2020-02-29 21:00:22+00:00,776,127179753.0,0.022381888098178645
lBYC4_Lccjw,Surviving 24 Hours On A Deserted Island,"This was Insane, I Can't Believe We Did This! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...",2237697.0,2019-08-22 20:00:07+00:00,832,107006436.0,0.020911798239874095
XaxhLbxZ13k,Last To Take Hand Off House Keeps It!,YOU WON'T BELIEVE WHO WON THE NEW HOUSE LOL New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...,1097901.0,2019-01-08 21:05:00+00:00,1050,57359031.0,0.019140856825144065
HPJKxAhLw5I,"Planting 20,000,000 Trees, My Biggest Project Ever!",HELP US ACHIEVE OUR GOAL OF PLANTING 20000000 TREES! PLEASE DONATE ! - https://teamtrees.org/ #teamtrees ...,3613873.0,2019-10-25 19:01:01+00:00,443,64630566.0,0.05591584947592754
d1010B3sKNQ,Surviving 24 Hours Straight In A Rain Forest,This was a lot of fun! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,1616986.0,2019-09-21 21:00:00+00:00,789,72343261.0,0.022351577433038304
wMuYiLby3-s,"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",YOU WONT BELIEVE WHO WON THIS Get Honey for FREE and save on your holiday gifts ▸ http://joinhoney.com/mrbeast Honey ...,1011945.0,2019-12-14 20:59:57+00:00,705,38421073.0,0.026338280557651268
0e3GPea1Tyg,"$456,000 Squid Game In Real Life!",MAKE SURE YOU WATCH UNTIL GLASS BRIDGE IT'S INSANE! Download Brawl Stars now and get a free gift from me in the ...,12250732.0,2021-11-24 21:00:01+00:00,1542,178763228.0,0.06853049218824803
gsWPpE4Rid0,Videos I Could Not Upload...,The last video i couldnt upload took forever to film SUBSCRIBE OR YOU'LL HAVE BAD LUCK New Merch ...,2243567.0,2020-04-30 20:00:08+00:00,812,65825475.0,0.03408356719036209
oI6aXhowFDY,I Went Back To Boy Scouts For A Day,WATCH UNTIL THE END TO SEE THE ULTIMATE BETRAYAL New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...,1450713.0,2020-01-25 21:00:01+00:00,818,67041958.0,0.021638881728364794
